Start Date,End Date,Start Time,End Time,SiteID,Pair ID,TTrtmnt,STrtmnt,Duration,Rem,RemNo,Latency,Time at Removal,Weather Conditions ,Dispersal Method,Notes
5/22/2022,5/22/2022,8:28,19:42,3A,1,DAY,CONTROL,,1,2,,10:54,FAIR,Tunneler,
5/22/2022,5/22/2022,8:09,19:40,3A,2,DAY,FRUIT,,1,2,,10:22,FAIR,Tunneler,
5/22/2022,5/22/2022,9:35,20:16,3B,3,DAY,FRUIT,,1,6,,14:10,FAIR,Shredding,
5/22/2022,5/22/2022,9:36,20:18,3B,4,DAY,CONTROL,,1,1,,17:00,FAIR,Tunneler,Butterfly
5/22/2022,5/22/2022,9:44,20:23,4A,5,DAY,CONTROL,,0,NA,NA,NA,FAIR,NA,Snake
5/22/2022,5/22/2022,9:47,20:25,4A,6,DAY,FRUIT,,1,9,,11:20,FAIR,Tunneler,cricket???
5/22/2022,5/22/2022,10:25,21:01,4B,7,DAY,CONTROL,,1,1,,11:43,FAIR,Roller,
5/22/2022,5/22/2022,10:06,18:00,4B,8,DAY,FRUIT,,1,3,,11:56,FAIR,Roller,
5/22/2022,5/23/2022,20:10,7:21,3A,1,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,19:55,7:20,3A,2,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:28,7:47,3B,3,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:34,6:48,3B,4,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:37,7:51,4A,5,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:35,7:52,4A,6,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,NA,NA,4B,7,NIGHT,CONTROL,,0,NA,NA,NA,FAIR,NA,
5/22/2022,5/23/2022,20:52,0:55,4B,8,NIGHT,FRUIT,,0,NA,NA,NA,FAIR,NA,
5/23/2022,5/24/2022,NA,NA,3A,9,NIGHT,CONTROL,,1,4,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,19:30,NA,3A,10,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:17,8:05,3B,11,NIGHT,CONTROL,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:20,8:05,3B,12,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:15,8:24,4A,13,NIGHT,CONTROL,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:13,8:32,4A,14,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:49,9:09,4B,15,NIGHT,CONTROL,,0,NA,NA,NA,RAIN,NA,
5/23/2022,5/24/2022,20:38,8:46,4B,16,NIGHT,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/24/2022,5/24/2022,7:40,19:46,3A,9,DAY,CONTROL,,1,2,,13:25,RAIN,Tunneler,17:05 -scat removal after rain
5/24/2022,5/24/2022,7:38,19:21,3A,10,DAY,FRUIT,,0,NA,NA,NA,RAIN,NA,
5/24/2022,5/24/2022,8:14,20:09,3B,11,DAY,CONTROL,,1,2,,11:06,RAIN,Tunneler,
5/24/2022,5/24/2022,8:14,20:16,3B,12,DAY,FRUIT,,0,1,NA,NA,RAIN,NA,
5/24/2022,5/24/2022,8:31,20:13,4A,13,DAY,CONTROL,,0,NA,NA,NA,RAIN,NA,14:17 - SICK PLANT FOOTAGE
5/24/2022,5/24/2022,8:38,20:18,4A,14,DAY,FRUIT,,1,9,,12:10,RAIN,Tunneler,17:15 19:24 - RODENT; SHREDDING
5/24/2022,5/24/2022,9:12,20:44,4B,15,DAY,CONTROL,,1,1,,12:55,RAIN,Roller,
5/24/2022,5/24/2022,8:59,20:03,4B,16,DAY,FRUIT,,1,7,,10:32,RAIN,Tunneler,
