pair,site,dep_time,dung_type,rem,remno,lat,norempair
1,3A,DAY,CONTROL,1,2,NA,0
1,3A,NIGHT,CONTROL,0,NA,NA,0
10,3A,NIGHT,FRUIT,0,NA,NA,1
10,3A,DAY,FRUIT,0,NA,NA,1
11,3B,NIGHT,CONTROL,0,NA,NA,0
11,3B,DAY,CONTROL,1,2,NA,0
12,3B,NIGHT,FRUIT,0,NA,NA,1
12,3B,DAY,FRUIT,0,1,NA,1
13,4A,NIGHT,CONTROL,0,NA,NA,1
13,4A,DAY,CONTROL,0,NA,NA,1
14,4A,NIGHT,FRUIT,0,NA,NA,0
14,4A,DAY,FRUIT,1,9,NA,0
15,4B,NIGHT,CONTROL,0,NA,NA,0
15,4B,DAY,CONTROL,1,1,NA,0
16,4B,NIGHT,FRUIT,0,NA,NA,0
16,4B,DAY,FRUIT,1,7,NA,0
17,3A,DAY,CONTROL,1,1,NA,0
17,3A,NIGHT,CONTROL,1,1,NA,0
18,3A,DAY,FRUIT,1,6,NA,0
18,3A,NIGHT,FRUIT,1,2,NA,0
19,3B,DAY,CONTROL,0,NA,NA,1
19,3B,NIGHT,CONTROL,0,NA,NA,1
2,3A,DAY,FRUIT,1,2,NA,0
2,3A,NIGHT,FRUIT,0,NA,NA,0
20,3B,DAY,FRUIT,1,5,NA,0
20,3B,NIGHT,FRUIT,0,NA,NA,0
21,4A,DAY,CONTROL,1,1,NA,0
21,4A,NIGHT,CONTROL,1,1,NA,0
22,4A,DAY,FRUIT,0,NA,NA,1
22,4A,NIGHT,FRUIT,0,NA,NA,1
23,4B,DAY,CONTROL,1,1,NA,0
23,4B,NIGHT,CONTROL,0,NA,NA,0
24,4B,NIGHT,FRUIT,1,1,NA,0
24,4B,DAY,FRUIT,1,5,NA,0
25,3A,DAY,CONTROL,0,NA,NA,1
25,3A,NIGHT,CONTROL,0,NA,NA,1
26,3A,DAY,FRUIT,1,7,NA,0
26,3A,NIGHT,FRUIT,0,NA,NA,0
27,3B,NIGHT,CONTROL,0,NA,NA,0
27,3B,DAY,CONTROL,1,2,NA,0
28,3B,NIGHT,FRUIT,0,NA,NA,0
28,3B,DAY,FRUIT,1,7,NA,0
29,4A,DAY,CONTROL,1,10,NA,0
29,4A,NIGHT,CONTROL,0,NA,NA,0
3,3B,DAY,FRUIT,1,6,NA,0
3,3B,NIGHT,CONTROL,0,NA,NA,0
30,4A,DAY,FRUIT,1,1,NA,0
30,4A,NIGHT,FRUIT,0,NA,NA,0
31,AN-N,DAY,CONTROL,1,15,2.2,0
